fishery_name,crc_area,angler_final,n_months,mean_of_months,sd_of_months,min_month,max_month,cv_across_months,pe_period
Drano Lake salmon and steelhead 2022,618,bank,4,3.5151481875,0.4999400474401645,2.86667,4.006666,0.14222445847886875,week
Drano Lake salmon and steelhead 2022,618,boat,4,5.060974040608466,1.1742111563313002,3.7292218,6.197530648148148,0.23201287872840548,week
Drano Lake salmon and steelhead 2023,618,bank,3,3.4660491111111114,0.5150031815911791,3.133334,4.05926,0.14858507917277736,week
Drano Lake salmon and steelhead 2023,618,boat,4,5.317291820106272,0.6269059211627874,4.3972914375,5.803472083333333,0.11789947634475666,week
Drano Lake salmon and steelhead 2024,618,bank,4,4.4149876751207735,0.7786748217377447,3.720833333333333,5.520368888888889,0.17637078040460075,week
Drano Lake salmon and steelhead 2024,618,boat,4,5.24132935254244,0.23696629217793289,4.948197837837838,5.5225293969849245,0.04521110509168563,week
Drano Lake salmon and steelhead 2025,618,bank,4,3.471416259018759,2.207055119258425,1.05,6.147618571428572,0.6357794498209436,week
Drano Lake salmon and steelhead 2025,618,boat,4,5.047804508160196,0.6036581853163117,4.332876849315069,5.804283177570094,0.11958826542122382,week
Hoh fall salmon 2023,348,boat,1,7.71667,NA,7.71667,7.71667,NA,week
Hoh fall salmon 2023,350,bank,1,4.304166666666666,NA,4.304166666666666,4.304166666666666,NA,week
Hoh fall salmon 2023,350,boat,1,7.6199995000000005,NA,7.6199995000000005,7.6199995000000005,NA,week
Hoh fall salmon 2025,348,bank,2,4.2816675,0.3511951894780167,4.033335,4.53,0.08202299442402211,week
Hoh fall salmon 2025,348,boat,3,6.370673474747475,1.4111189667354287,5.540909090909091,8,0.22150232190190278,week
Hoh fall salmon 2025,350,bank,3,3.3667345163170164,0.4915405931764054,2.8208325,3.7742418181818183,0.14599921401409402,week
Hoh fall salmon 2025,350,boat,3,6.1385176,2.009967737480699,3.82222,7.4233328,0.32743536281148705,week
Humptulips salmon 2022,358,bank,4,3.931238098112713,0.21908180717317924,3.720339406779661,4.182905897435897,0.055728450352156185,week
Humptulips salmon 2022,358,boat,4,7.603638328174384,0.5774495833741023,6.801622477876106,8.16761942857143,0.07594385193656977,week
Humptulips salmon 2023,358,bank,3,3.434293022965039,0.428146510863656,2.980757363636364,3.831467686567164,0.12466801988084594,week
Humptulips salmon 2023,358,boat,3,7.1301075574489055,0.4579216431606918,6.744642678571428,7.636296296296297,0.06422366555779313,week
Humptulips salmon 2024,358,bank,4,3.406032015730866,0.19989829435054904,3.233333488372093,3.6926618656716417,0.058689493647538386,week
Humptulips salmon 2024,358,boat,4,6.645350228009259,0.11311654381040274,6.533950833333333,6.7817710416666666,0.017021908541950386,week
Humptulips salmon 2025,358,bank,4,3.4748318009611974,0.20858422820840625,3.2760710714285715,3.768764195804196,0.06002714380325065,week
Humptulips salmon 2025,358,boat,4,6.293475355804902,0.6650406206877008,5.435238285714286,7.017283827160494,0.10567144273859568,week
Lower Chehalis salmon 2023,317,bank,3,2.77652532325275,0.39444448996850245,2.323105909090909,3.0405791304347827,0.14206407075243369,week
Lower Chehalis salmon 2023,317,boat,3,4.8319822847796505,0.11549125823034627,4.699999583333334,4.9145161751152076,0.023901424182397005,week
Lower Chehalis salmon 2023,NA,boat,3,4.175833444444445,0.7011665427671298,3.6166675,4.962500833333333,0.1679105625488886,week
Nisqually salmon 2022,786,bank,5,3.034175919653689,0.6499653833538847,2.233334,3.9417674204171242,0.2142147985368197,week
Nisqually salmon 2022,786,boat,4,6.764065787297528,1.183292964650848,5.525,8.363725294117648,0.17493812181321397,week
Nisqually salmon 2023,786,bank,5,2.7159413342731864,0.6541210632240715,2.007123870967742,3.505280174471993,0.24084506354004917,week
Nisqually salmon 2023,786,boat,4,6.564908130952381,1.3876347496131585,5.191665,7.914,0.21137154122092067,week
Nooksack fall salmon 2023,794,bank,1,2.236275294117647,NA,2.236275294117647,2.236275294117647,NA,week
Nooksack fall salmon 2023,794,boat,1,4.591665,NA,4.591665,4.591665,NA,week
