fishery_name,month,angler_final,n,total,prop
Nisqually salmon 2021,2021-10-01,Boat,8,281,0.028469750889679714
Nisqually salmon 2021,2021-11-01,Bank,3,3,1
Nisqually salmon 2022,2022-07-01,Bank,65,69,0.9420289855072463
Nisqually salmon 2022,2022-07-01,Boat,4,69,0.057971014492753624
Nisqually salmon 2022,2022-08-01,Bank,819,841,0.9738406658739596
Nisqually salmon 2022,2022-08-01,Boat,22,841,0.026159334126040427
Nisqually salmon 2022,2022-09-01,Bank,923,939,0.9829605963791267
Nisqually salmon 2022,2022-09-01,Boat,16,939,0.01703940362087327
Nisqually salmon 2022,2022-10-01,Bank,491,515,0.9533980582524272
Nisqually salmon 2022,2022-10-01,Boat,24,515,0.04660194174757282
Nisqually salmon 2022,2022-11-01,Bank,6,6,1
Nisqually salmon 2023,2023-07-01,Bank,127,131,0.9694656488549618
Nisqually salmon 2023,2023-07-01,Boat,4,131,0.030534351145038167
Nisqually salmon 2023,2023-08-01,Bank,636,652,0.9754601226993865
Nisqually salmon 2023,2023-08-01,Boat,16,652,0.024539877300613498
Nisqually salmon 2023,2023-09-01,Bank,1096,1119,0.9794459338695264
Nisqually salmon 2023,2023-09-01,Boat,23,1119,0.020554066130473638
Nisqually salmon 2023,2023-10-01,Bank,218,232,0.9396551724137931
Nisqually salmon 2023,2023-10-01,Boat,14,232,0.0603448275862069
Nisqually salmon 2023,2023-11-01,Bank,5,5,1
Nooksack fall salmon 2023,2023-11-01,Bank,23,27,0.8518518518518519
Nooksack fall salmon 2023,2023-11-01,Boat,4,27,0.14814814814814814
Nooksack fall salmon 2024,2024-11-01,Bank,55,58,0.9482758620689655
Nooksack fall salmon 2024,2024-11-01,Boat,3,58,0.05172413793103448
Nooksack spring Chinook 2022,2022-05-01,Bank,34,35,0.9714285714285714
Nooksack spring Chinook 2022,2022-05-01,Boat,1,35,0.02857142857142857
Nooksack spring Chinook 2022,2022-06-01,Bank,97,97,1
Nooksack spring Chinook 2022,2022-07-01,Bank,30,33,0.9090909090909091
Nooksack spring Chinook 2022,2022-07-01,Boat,3,33,0.09090909090909091
Nooksack spring Chinook 2026,2026-05-01,Bank,108,123,0.8780487804878049
Nooksack spring Chinook 2026,2026-05-01,Boat,15,123,0.12195121951219512
Nooksack spring Chinook 2026,2026-06-01,Bank,104,113,0.9203539823008849
Nooksack spring Chinook 2026,2026-06-01,Boat,9,113,0.07964601769911504
Nooksack winter gamefish 2021-22,2022-01-01,Bank,51,63,0.8095238095238095
Nooksack winter gamefish 2021-22,2022-01-01,Boat,12,63,0.19047619047619047
Nooksack winter gamefish 2021-22,2022-02-01,Bank,161,195,0.8256410256410256
Nooksack winter gamefish 2021-22,2022-02-01,Boat,34,195,0.17435897435897435
Nooksack winter gamefish 2022-23,2022-12-01,Bank,77,87,0.8850574712643678
Nooksack winter gamefish 2022-23,2022-12-01,Boat,10,87,0.11494252873563218
Nooksack winter gamefish 2022-23,2023-01-01,Bank,23,24,0.9583333333333334
Nooksack winter gamefish 2022-23,2023-01-01,Boat,1,24,0.041666666666666664
Nooksack winter gamefish 2022-23,2023-02-01,Bank,150,183,0.819672131147541
Nooksack winter gamefish 2022-23,2023-02-01,Boat,33,183,0.18032786885245902
North Fork Skykomish summer gamefish 2025,2025-05-01,Bank,8,8,1
North Fork Skykomish summer gamefish 2025,2025-06-01,Bank,7,7,1
North Fork Skykomish summer gamefish 2025,2025-07-01,Bank,5,5,1
Post Quillayute winter steelhead 2023-24,2024-01-01,Bank,12,21,0.5714285714285714
Post Quillayute winter steelhead 2023-24,2024-01-01,Boat,9,21,0.42857142857142855
Post Quillayute winter steelhead 2023-24,2024-02-01,Bank,48,136,0.35294117647058826
Post Quillayute winter steelhead 2023-24,2024-02-01,Boat,88,136,0.6470588235294118
Post Quillayute winter steelhead 2023-24,2024-03-01,Bank,64,183,0.34972677595628415
Post Quillayute winter steelhead 2023-24,2024-03-01,Boat,119,183,0.6502732240437158
Pre Quillayute winter steelhead 2023-24,2023-12-01,Bank,22,28,0.7857142857142857
Pre Quillayute winter steelhead 2023-24,2023-12-01,Boat,6,28,0.21428571428571427
Pre Quillayute winter steelhead 2023-24,2024-01-01,Bank,38,97,0.3917525773195876
Pre Quillayute winter steelhead 2023-24,2024-01-01,Boat,59,97,0.6082474226804123
Puyallup Carbon salmon 2024,2024-08-01,Bank,1060,1060,1
Puyallup Carbon salmon 2024,2024-09-01,Bank,873,874,0.9988558352402745
Puyallup Carbon salmon 2024,2024-09-01,Boat,1,874,0.0011441647597254005
Puyallup Carbon salmon 2024,2024-10-01,Bank,217,217,1
Puyallup Carbon salmon 2025,2025-08-01,Bank,953,953,1
Puyallup Carbon salmon 2025,2025-09-01,Bank,1158,1158,1
Puyallup Carbon salmon 2025,2025-10-01,Bank,302,302,1
Puyallup_Carbon salmon 2022,2022-08-01,Bank,657,657,1
Puyallup_Carbon salmon 2022,2022-09-01,Bank,1411,1411,1
Puyallup_Carbon salmon 2023,2023-08-01,Bank,1135,1135,1
Puyallup_Carbon salmon 2023,2023-09-01,Bank,1362,1362,1
Puyallup_Carbon salmon 2023,2023-10-01,Bank,303,303,1
Queets winter steelhead 2024-25,2025-01-01,Bank,17,21,0.8095238095238095
Queets winter steelhead 2024-25,2025-01-01,Boat,4,21,0.19047619047619047
Queets winter steelhead 2024-25,2025-02-01,Bank,21,38,0.5526315789473685
Queets winter steelhead 2024-25,2025-02-01,Boat,17,38,0.4473684210526316
Queets winter steelhead 2025-26,2025-12-01,Bank,4,4,1
Queets winter steelhead 2025-26,2026-01-01,Bank,13,13,1
Queets winter steelhead 2025-26,2026-02-01,Bank,10,15,0.6666666666666666
Queets winter steelhead 2025-26,2026-02-01,Boat,5,15,0.3333333333333333
Queets winter steelhead 2025-26,2026-03-01,Bank,3,8,0.375
Queets winter steelhead 2025-26,2026-03-01,Boat,5,8,0.625
Quillayute fall salmon 2022,2022-09-01,Bank,4,6,0.6666666666666666
Quillayute fall salmon 2022,2022-09-01,Boat,2,6,0.3333333333333333
