fishery_name,month,combined_type,n,total,prop
Hoh winter steelhead 2025-26,2026-02-01,Unguided-Boat,47,291,0.16151202749140894
Hoh winter steelhead 2025-26,2026-03-01,Guided-Bank,32,353,0.0906515580736544
Hoh winter steelhead 2025-26,2026-03-01,Guided-Boat,107,353,0.3031161473087819
Hoh winter steelhead 2025-26,2026-03-01,Unguided-Bank,150,353,0.42492917847025496
Hoh winter steelhead 2025-26,2026-03-01,Unguided-Boat,64,353,0.1813031161473088
Humptulips salmon 2020,2020-09-01,Guided-Bank,0,423,0
Humptulips salmon 2020,2020-09-01,Guided-Boat,82,423,0.1938534278959811
Humptulips salmon 2020,2020-09-01,Unguided-Bank,177,423,0.41843971631205673
Humptulips salmon 2020,2020-09-01,Unguided-Boat,164,423,0.3877068557919622
Humptulips salmon 2020,2020-10-01,Guided-Bank,0,260,0
Humptulips salmon 2020,2020-10-01,Guided-Boat,47,260,0.18076923076923077
Humptulips salmon 2020,2020-10-01,Unguided-Bank,157,260,0.6038461538461538
Humptulips salmon 2020,2020-10-01,Unguided-Boat,56,260,0.2153846153846154
Humptulips salmon 2020,2020-11-01,Guided-Bank,0,162,0
Humptulips salmon 2020,2020-11-01,Guided-Boat,24,162,0.14814814814814814
Humptulips salmon 2020,2020-11-01,Unguided-Bank,108,162,0.6666666666666666
