fishery_name,combined_type,hours,total_hours,prop
Skagit fall salmon 2021,Unguided-Bank,2297.65,5834.05,0.39383447176489744
Skagit fall salmon 2021,Unguided-Boat,3301.55,5834.05,0.5659104738560691
Skagit fall salmon 2022,Guided-Bank,47.46666666666666,13898.066666666668,0.00341534314125226
Skagit fall salmon 2022,Guided-Boat,1293.6333333333334,13898.066666666668,0.09308009267476051
Skagit fall salmon 2022,Unguided-Bank,2537.116666666667,13898.066666666668,0.18255176979052243
Skagit fall salmon 2022,Unguided-Boat,10019.85,13898.066666666668,0.7209527943934648
Skagit fall salmon 2023,Guided-Bank,68.78333333333333,17294.6,0.00397715664619785
Skagit fall salmon 2023,Guided-Boat,979.9,17294.6,0.056659304060226894
Skagit fall salmon 2023,Unguided-Bank,7230.683333333333,17294.6,0.418089075973618
Skagit fall salmon 2023,Unguided-Boat,9015.233333333334,17294.6,0.5212744633199573
Skagit fall salmon 2024,Guided-Bank,37.93333333333333,10974.05,0.003456639375010441
Skagit fall salmon 2024,Guided-Boat,672.2833333333333,10974.05,0.0612611873768876
Skagit fall salmon 2024,Unguided-Bank,3725.5666666666666,10974.05,0.3394887636439297
Skagit fall salmon 2024,Unguided-Boat,6538.266666666666,10974.05,0.5957934096041723
Skagit fall salmon 2025,Guided-Bank,241.45,17457.283333333333,0.013830903433810339
Skagit fall salmon 2025,Guided-Boat,1210.1666666666667,17457.283333333333,0.06932159165658651
Skagit fall salmon 2025,Unguided-Bank,8681.85,17457.283333333333,0.49731964786426297
Skagit fall salmon 2025,Unguided-Boat,7323.816666666667,17457.283333333333,0.4195278570453402
Skagit spring Chinook 2021 lower,Guided-Bank,0,506.03333333333336,0
Skagit spring Chinook 2021 lower,Guided-Boat,0,506.03333333333336,0
Skagit spring Chinook 2021 lower,Unguided-Bank,277.48333333333335,506.03333333333336,0.5483499110730519
Skagit spring Chinook 2021 lower,Unguided-Boat,228.55,506.03333333333336,0.45165008892694813
Skagit spring Chinook 2022 lower,Guided-Bank,0,1305.1666666666665,0
Skagit spring Chinook 2022 lower,Guided-Boat,0,1305.1666666666665,0
Skagit spring Chinook 2022 lower,Unguided-Bank,893.4166666666666,1305.1666666666665,0.6845230494189759
Skagit spring Chinook 2022 lower,Unguided-Boat,411.75,1305.1666666666665,0.31547695058102415
Skagit spring Chinook 2022 upper,Guided-Bank,0,778,0
Skagit spring Chinook 2022 upper,Guided-Boat,295.2,778,0.3794344473007712
Skagit spring Chinook 2022 upper,Unguided-Bank,257.78333333333336,778,0.33134104541559556
Skagit spring Chinook 2022 upper,Unguided-Boat,225.01666666666668,778,0.28922450728363325
Skagit spring Chinook 2023 lower,Guided-Bank,0,965.9166666666667,0
Skagit spring Chinook 2023 lower,Guided-Boat,0,965.9166666666667,0
Skagit spring Chinook 2023 lower,Unguided-Bank,514.1,965.9166666666667,0.5322405314468122
Skagit spring Chinook 2023 lower,Unguided-Boat,451.81666666666666,965.9166666666667,0.4677594685531878
Skagit spring Chinook 2023 upper,Guided-Bank,2.6,1080.1,0.0024071845199518565
Skagit spring Chinook 2023 upper,Guided-Boat,260.45,1080.1,0.2411350800851773
Skagit spring Chinook 2023 upper,Unguided-Bank,405.01666666666665,1080.1,0.3749807116625004
Skagit spring Chinook 2023 upper,Unguided-Boat,412.03333333333336,1080.1,0.3814770237323705
Skagit spring Chinook 2024 lower,Guided-Bank,0,1798.35,0
Skagit spring Chinook 2024 lower,Guided-Boat,0,1798.35,0
Skagit spring Chinook 2024 lower,Unguided-Bank,947.1833333333334,1798.35,0.5266957674164281
