fishery_name,guided_status,n,total,prop
Satsop winter steelhead 2025-26,Unguided,150,161,0.9316770186335404
Skagit fall salmon 2021,Guided,11,891,0.012345679012345678
Skagit fall salmon 2021,Unguided,880,891,0.9876543209876543
Skagit fall salmon 2022,Guided,51,1673,0.030484160191273164
Skagit fall salmon 2022,Unguided,1622,1673,0.9695158398087268
Skagit fall salmon 2023,Guided,48,2677,0.017930519237952934
Skagit fall salmon 2023,Unguided,2629,2677,0.982069480762047
Skagit fall salmon 2024,Guided,33,1779,0.01854974704890388
Skagit fall salmon 2024,Unguided,1746,1779,0.9814502529510961
Skagit fall salmon 2025,Guided,71,2633,0.026965438663121913
Skagit fall salmon 2025,Unguided,2562,2633,0.973034561336878
Skagit spring Chinook 2021 lower,Unguided,121,121,1
Skagit spring Chinook 2022 lower,Unguided,336,336,1
Skagit spring Chinook 2022 upper,Guided,10,111,0.09009009009009009
Skagit spring Chinook 2022 upper,Unguided,101,111,0.9099099099099099
Skagit spring Chinook 2023 lower,Unguided,180,180,1
Skagit spring Chinook 2023 upper,Guided,10,127,0.07874015748031496
Skagit spring Chinook 2023 upper,Unguided,117,127,0.9212598425196851
Skagit spring Chinook 2024 lower,Unguided,330,330,1
Skagit spring Chinook 2024 upper,Guided,8,365,0.021917808219178082
Skagit spring Chinook 2024 upper,Unguided,357,365,0.9780821917808219
Skagit spring Chinook 2025 lower,Guided,1,163,0.006134969325153374
Skagit spring Chinook 2025 lower,Unguided,162,163,0.9938650306748467
Skagit spring Chinook 2025 upper,Guided,11,413,0.026634382566585957
Skagit spring Chinook 2025 upper,Unguided,402,413,0.9733656174334141
Skagit spring Chinook 2026 lower,Guided,1,242,0.004132231404958678
Skagit spring Chinook 2026 lower,Unguided,241,242,0.9958677685950413
Skagit spring Chinook 2026 upper,Guided,15,289,0.05190311418685121
Skagit spring Chinook 2026 upper,Unguided,274,289,0.9480968858131488
Skagit spring gamefish 2025,Unguided,2,2,1
