fishery_name,month,combined_type,hours,total_hours,prop
Chehalis winter steelhead 2025-26,2025-12-01,Guided-Bank,0,170.98333333333335,0
Chehalis winter steelhead 2025-26,2025-12-01,Guided-Boat,13.950000000000001,170.98333333333335,0.08158689930792475
Chehalis winter steelhead 2025-26,2025-12-01,Unguided-Bank,25.983333333333334,170.98333333333335,0.151964129057413
Chehalis winter steelhead 2025-26,2025-12-01,Unguided-Boat,131.05,170.98333333333335,0.7664489716346623
Chehalis winter steelhead 2025-26,2026-01-01,Guided-Bank,0,265.15000000000003,0
Chehalis winter steelhead 2025-26,2026-01-01,Guided-Boat,56.2,265.15000000000003,0.21195549688855364
Chehalis winter steelhead 2025-26,2026-01-01,Unguided-Bank,24.583333333333332,265.15000000000003,0.09271481551323149
Chehalis winter steelhead 2025-26,2026-01-01,Unguided-Boat,184.36666666666667,265.15000000000003,0.6953296875982148
Chehalis winter steelhead 2025-26,2026-02-01,Guided-Bank,0,99.83333333333333,0
Chehalis winter steelhead 2025-26,2026-02-01,Guided-Boat,0,99.83333333333333,0
Chehalis winter steelhead 2025-26,2026-02-01,Unguided-Bank,0,99.83333333333333,0
Chehalis winter steelhead 2025-26,2026-02-01,Unguided-Boat,99.83333333333333,99.83333333333333,1
Drano Lake salmon and steelhead 2023,2023-07-01,Guided-Bank,0,250.98333333333332,0
Drano Lake salmon and steelhead 2023,2023-07-01,Guided-Boat,29.25,250.98333333333332,0.11654160302808952
Drano Lake salmon and steelhead 2023,2023-07-01,Unguided-Bank,0,250.98333333333332,0
Drano Lake salmon and steelhead 2023,2023-07-01,Unguided-Boat,221.73333333333332,250.98333333333332,0.8834583969719105
Drano Lake salmon and steelhead 2023,2023-08-01,Guided-Bank,0,4897.616666666667,0
Drano Lake salmon and steelhead 2023,2023-08-01,Guided-Boat,682.6833333333333,4897.616666666667,0.1393909282406068
Drano Lake salmon and steelhead 2023,2023-08-01,Unguided-Bank,169.58333333333334,4897.616666666667,0.034625685282297175
Drano Lake salmon and steelhead 2023,2023-08-01,Unguided-Boat,4045.35,4897.616666666667,0.825983386477096
Drano Lake salmon and steelhead 2023,2023-09-01,Guided-Bank,0,5882.416666666667,0
Drano Lake salmon and steelhead 2023,2023-09-01,Guided-Boat,1418.2333333333333,5882.416666666667,0.24109705478190652
Drano Lake salmon and steelhead 2023,2023-09-01,Unguided-Bank,153.83333333333334,5882.416666666667,0.0261513833600136
Drano Lake salmon and steelhead 2023,2023-09-01,Unguided-Boat,4310.35,5882.416666666667,0.7327515618580799
Drano Lake salmon and steelhead 2023,2023-10-01,Guided-Bank,0,2345.616666666667,0
Drano Lake salmon and steelhead 2023,2023-10-01,Guided-Boat,822.6,2345.616666666667,0.35069668956990696
