fishery_name,angler_final,hours,total_hours,prop
Snohomish fall salmon 2021,Bank,2252.4166666666665,7540.950000000001,0.2986913673564559
Snohomish fall salmon 2021,Boat,5288.533333333334,7540.950000000001,0.701308632643544
Snohomish fall salmon 2022,Bank,77.06666666666666,238.6,0.3229952500698519
Snohomish fall salmon 2022,Boat,161.53333333333333,238.6,0.6770047499301481
Snohomish fall salmon 2023,Bank,5739.7,18168.283333333333,0.31591867512707583
Snohomish fall salmon 2023,Boat,12428.583333333334,18168.283333333333,0.6840813248729242
Snohomish fall salmon 2024,Bank,2719.25,9327.3,0.29153667192006266
Snohomish fall salmon 2024,Boat,6608.05,9327.3,0.7084633280799375
Snohomish fall salmon 2025,Bank,4034.366666666667,8736.433333333334,0.46178646510971294
Snohomish fall salmon 2025,Boat,4702.066666666667,8736.433333333334,0.538213534890287
Snoqualmie summer gamefish 2025,Bank,103.55,114.5,0.9043668122270742
Snoqualmie summer gamefish 2025,Boat,10.95,114.5,0.09563318777292576
Snoqualmie winter steelhead 2022-23,Bank,1314.7333333333333,1418.6166666666668,0.9267713852696875
Snoqualmie winter steelhead 2022-23,Boat,103.88333333333334,1418.6166666666668,0.07322861473031239
South Fork Skykomish summer gamefish 2025,Bank,30.3,30.3,1
South Fork Stillaguamish summer gamefish 2024 upper,Bank,497.48333333333335,497.48333333333335,1
South Fork Willapa winter steelhead 2022-23,Bank,75.78333333333333,75.78333333333333,1
South Fork Willapa winter steelhead 2023-24,Bank,54.166666666666664,54.166666666666664,1
Stillaguamish Winter Steelhead 2022-23,Bank,620.2,660.5500000000001,0.9389145409128756
Stillaguamish Winter Steelhead 2022-23,Boat,40.35,660.5500000000001,0.061085459087124365
Stillaguamish salmon and gamefish 2022-23,Bank,924.15,1028.5666666666666,0.8984833263116959
Stillaguamish salmon and gamefish 2022-23,Boat,104.41666666666667,1028.5666666666666,0.10151667368830412
Stillaguamish salmon and gamefish 2023-24,Bank,1184.6833333333334,1378.6833333333334,0.8592860337761874
Stillaguamish salmon and gamefish 2023-24,Boat,194,1378.6833333333334,0.14071396622381258
Stillaguamish salmon and gamefish 2024-25,Bank,2878.9166666666665,2994.1499999999996,0.9615138408786023
Stillaguamish salmon and gamefish 2024-25,Boat,115.23333333333333,2994.1499999999996,0.03848615912139784
Stillaguamish salmon and gamefish 2025-26,Bank,3236.9,3436.4333333333334,0.941935921934564
Stillaguamish salmon and gamefish 2025-26,Boat,199.53333333333333,3436.4333333333334,0.058064078065436064
Upper Chehalis salmon 2023,Bank,116.33333333333333,2766.6000000000004,0.042049206004963965
Upper Chehalis salmon 2023,Boat,2650.266666666667,2766.6000000000004,0.957950793995036
Wallace salmon and gamefish 2022-23,Bank,2415.2166666666667,2415.2166666666667,1
Wallace salmon and gamefish 2023-24,Bank,720.9833333333333,720.9833333333333,1
Wallace salmon and gamefish 2024-25,Bank,1888.5,1888.5,1
Willapa winter steelhead 2022,Bank,1391.65,1420.0833333333335,0.9799777008391526
Willapa winter steelhead 2022,Boat,28.433333333333334,1420.0833333333335,0.020022299160847367
Willapa winter steelhead 2022-23,Bank,1714.4,1739.8000000000002,0.985400620761007
Willapa winter steelhead 2022-23,Boat,25.4,1739.8000000000002,0.014599379238992986
Willapa winter steelhead 2023-24,Bank,2409.6666666666665,2696.1666666666665,0.8937380231192433
Willapa winter steelhead 2023-24,Boat,286.5,2696.1666666666665,0.10626197688075664
Wynoochee winter steelhead 2024-25,Bank,1366.9666666666667,5907.533333333333,0.23139381354880212
Wynoochee winter steelhead 2024-25,Boat,4540.566666666667,5907.533333333333,0.7686061864511979
Wynoochee winter steelhead 2025-26,Bank,1312.8333333333333,5135.283333333333,0.25564963958496284
Wynoochee winter steelhead 2025-26,Boat,3822.45,5135.283333333333,0.7443503604150372
