fishery_name,n_total,n_guided,n_unguided,n_guide_unknown,n_bank,n_boat,n_type_unknown,n_guided_bank,n_guided_boat,n_unguided_bank,n_unguided_boat,n_combined_unknown,pct_classifiable,mean_hours,median_hours,total_hours,year_min,year_max,n_years,years_span,guide_ratio,type_ratio
Skagit winter steelhead 2023,747,32,694,21,500,246,1,10,22,476,217,22,97.1,10.75,8.07,8015.8,2023,2023,1,2023-2023 (1 yrs),32:694,500:246
Humptulips salmon 2021,723,95,628,0,385,338,0,1,94,384,244,0,100,10.54,8.5,7619.6,2021,2021,1,2021-2021 (1 yrs),95:628,385:338
Skagit summer sockeye 2024,722,5,704,13,562,160,0,0,5,550,154,13,98.2,5.62,4,4045.1,2024,2024,1,2024-2024 (1 yrs),5:704,562:160
Humptulips salmon 2022,680,51,618,11,461,219,0,1,50,450,168,11,98.4,10.37,7.4,7043.7,2022,2022,1,2022-2022 (1 yrs),51:618,461:219
Hoh winter steelhead 2022-23,666,181,485,0,655,11,0,175,6,480,5,0,100,10.85,9,7203.7,2022,2023,2,2022-2023 (2 yrs),181:485,655:11
Quillayute fall salmon 2024,662,102,560,0,426,236,0,6,96,420,140,0,100,8.86,7.07,5863.6,2024,2024,1,2024-2024 (1 yrs),102:560,426:236
Skagit summer sockeye 2025,616,2,605,9,401,215,0,0,2,394,211,9,98.5,7,5.26,4311.4,2025,2025,1,2025-2025 (1 yrs),2:605,401:215
Quillayute fall salmon 2025,606,68,538,0,404,202,0,3,65,401,137,0,100,9.75,7.5,5898.9,2025,2025,1,2025-2025 (1 yrs),68:538,404:202
Baker summer sockeye 2022,568,9,557,2,4,564,0,0,9,4,553,2,99.6,12.73,10.9,7228.5,2022,2022,1,2022-2022 (1 yrs),9:557,4:564
Hoh winter steelhead 2024-25,553,188,365,0,338,215,0,73,115,265,100,0,100,10.04,8.47,5551.8,2024,2025,2,2024-2025 (2 yrs),188:365,338:215
Wynoochee winter steelhead 2024-25,547,54,491,2,285,262,0,1,53,284,207,2,99.6,10.8,8.4,5907.5,2024,2025,2,2024-2025 (2 yrs),54:491,285:262
Humptulips winter steelhead 2025-26,535,17,518,0,455,80,0,1,16,454,64,0,100,6.87,4.28,3666.9,2025,2026,2,2025-2026 (2 yrs),17:518,455:80
Willapa winter steelhead 2023-24,535,1,533,1,516,19,0,1,0,514,19,1,99.8,5.05,3.45,2696.2,2023,2024,2,2023-2024 (2 yrs),1:533,516:19
Skagit summer sockeye 2022,526,0,521,5,447,79,0,0,0,443,78,5,99,5.81,3.87,3048.2,2022,2022,1,2022-2022 (1 yrs),0:521,447:79
Wallace salmon and gamefish 2022-23,520,0,0,520,514,0,6,0,0,0,0,520,0,4.7,3.54,2443.1,2022,2023,2,2022-2023 (2 yrs),0:0,514:0
Baker summer sockeye 2023,488,9,476,3,9,478,1,0,9,9,466,4,99.2,12.3,10.48,6000.2,2023,2023,1,2023-2023 (1 yrs),9:476,9:478
Satsop salmon 2024,486,9,466,11,346,140,0,0,9,341,125,11,97.7,9.32,6.89,4510,2024,2024,1,2024-2024 (1 yrs),9:466,346:140
Skagit summer sockeye 2026,483,8,475,0,289,194,0,0,8,289,186,0,100,7.76,5.67,3730.2,2026,2026,1,2026-2026 (1 yrs),8:475,289:194
Skookumchuck winter steelhead 2024-25,481,0,476,5,480,1,0,0,0,475,1,5,99,4.7,3.75,2258.8,2024,2025,2,2024-2025 (2 yrs),0:476,480:1
Wynoochee winter steelhead 2025-26,427,57,370,0,203,224,0,1,56,202,168,0,100,12.03,11,5135.3,2025,2026,2,2025-2026 (2 yrs),57:370,203:224
Skagit spring Chinook 2025 upper,423,11,402,10,376,47,0,1,10,367,35,10,97.6,7.96,4.92,3360.4,2025,2025,1,2025-2025 (1 yrs),11:402,376:47
Cascade spring Chinook 2022,414,0,411,3,412,0,2,0,0,409,0,5,98.8,7.06,5.43,2921,2022,2022,1,2022-2022 (1 yrs),0:411,412:0
Skykomish summer Chinook 2021,412,47,101,264,156,256,0,0,47,17,84,264,35.9,12.65,9.71,5210.3,2021,2021,1,2021-2021 (1 yrs),47:101,156:256
Skykomish summer Chinook 2020,393,35,26,332,152,241,0,0,35,8,18,332,15.5,12.84,9.75,5045,2020,2020,1,2020-2020 (1 yrs),35:26,152:241
Chehalis winter steelhead 2024-25,392,14,363,15,163,229,0,0,14,159,204,15,96.2,7.98,6.28,3121.8,2024,2025,2,2024-2025 (2 yrs),14:363,163:229
Snoqualmie winter steelhead 2022-23,387,0,0,387,371,10,6,0,0,0,0,387,0,3.78,2.77,1463.5,2022,2023,2,2022-2023 (2 yrs),0:0,371:10
Quillayute fall salmon 2022,379,51,328,0,232,147,0,4,47,228,100,0,100,10.66,8.05,4027.8,2022,2022,1,2022-2022 (1 yrs),51:328,232:147
Skagit spring Chinook 2024 upper,371,8,357,6,334,37,0,0,8,329,28,6,98.4,7.09,4.52,2630.2,2024,2024,1,2024-2024 (1 yrs),8:357,334:37
Wallace salmon and gamefish 2024-25,371,0,0,371,371,0,0,0,0,0,0,371,0,5.12,3.22,1888.5,2024,2024,1,2024-2024 (1 yrs),0:0,371:0
Satsop salmon 2023,370,8,359,3,264,106,0,0,8,262,97,3,99.2,8.04,5.12,2968.1,2023,2023,1,2023-2023 (1 yrs),8:359,264:106
Humptulips winter steelhead 2024-25,365,14,351,0,308,57,0,1,13,307,44,0,100,6.81,4.1,2484,2024,2025,2,2024-2025 (2 yrs),14:351,308:57
Skykomish winter gamefish 2021-22,362,0,248,114,360,2,0,0,0,247,1,114,68.5,4.35,3.52,1573.9,2021,2022,2,2021-2022 (2 yrs),0:248,360:2
Satsop winter steelhead 2024-25,355,11,331,13,189,166,0,0,11,181,150,13,96.3,9.19,6.57,3264,2024,2025,2,2024-2025 (2 yrs),11:331,189:166
Skagit spring Chinook 2022 lower,341,0,336,5,285,56,0,0,0,281,55,5,98.5,3.87,2.25,1319.7,2022,2022,1,2022-2022 (1 yrs),0:336,285:56
Post Quillayute winter steelhead 2023-24,340,163,176,1,124,216,0,45,118,78,98,1,99.7,13.74,13.67,4673.2,2024,2024,1,2024-2024 (1 yrs),163:176,124:216
Silver Lake Winter Crappie 2025-26,335,0,0,335,250,85,0,0,0,0,0,335,0,8.97,7.85,3004.3,2025,2026,2,2025-2026 (2 yrs),0:0,250:85
Skagit spring Chinook 2024 lower,332,0,330,2,228,104,0,0,0,226,104,2,99.4,5.49,3.86,1821.3,2024,2024,1,2024-2024 (1 yrs),0:330,228:104
Satsop salmon 2025,330,19,311,0,210,120,0,0,19,210,101,0,100,9.23,6.37,3038.2,2025,2025,1,2025-2025 (1 yrs),19:311,210:120
Satsop salmon 2022,328,5,322,1,230,98,0,0,5,229,93,1,99.7,9,6.53,2951.9,2022,2022,1,2022-2022 (1 yrs),5:322,230:98
Naselle winter steelhead 2023-24,324,5,306,13,285,39,0,2,3,270,36,13,96,7.16,5.57,2314.2,2023,2024,2,2023-2024 (2 yrs),5:306,285:39
Quillayute fall salmon 2023,317,31,286,0,220,97,0,0,31,220,66,0,100,9.94,7.46,3140.9,2023,2023,1,2023-2023 (1 yrs),31:286,220:97
Skykomish winter gamefish 2022-23,315,0,1,314,287,26,2,0,0,1,0,314,0.3,4.59,3.08,1445.5,2022,2023,2,2022-2023 (2 yrs),0:1,287:26
Stillaguamish salmon and gamefish 2023-24,301,0,0,301,279,22,0,0,0,0,0,301,0,4.61,3.02,1378.7,2023,2023,1,2023-2023 (1 yrs),0:0,279:22
Skykomish summer Chinook and gamefish 2025,297,12,238,47,216,81,0,0,12,183,55,47,84.2,7.26,3.78,2147.7,2025,2025,1,2025-2025 (1 yrs),12:238,216:81
Nooksack winter gamefish 2022-23,294,3,290,1,250,44,0,2,1,248,42,1,99.7,6.12,3.64,1799.8,2022,2023,2,2022-2023 (2 yrs),3:290,250:44
Willapa winter steelhead 2022-23,291,0,289,2,289,2,0,0,0,287,2,2,99.3,5.98,4.43,1739.8,2022,2023,2,2022-2023 (2 yrs),0:289,289:2
Skagit spring Chinook 2026 upper,289,15,274,0,218,71,0,1,14,217,57,0,100,8.91,6,2557.5,2026,2026,1,2026-2026 (1 yrs),15:274,218:71
Willapa winter steelhead 2022,285,5,280,0,283,2,0,5,0,278,2,0,100,4.98,4,1420.1,2022,2022,1,2022-2022 (1 yrs),5:280,283:2
Cascade fall salmon 2023,274,1,272,1,274,0,0,1,0,272,0,1,99.6,6.45,4.69,1767.5,2023,2023,1,2023-2023 (1 yrs),1:272,274:0
Stillaguamish salmon and gamefish 2022-23,272,0,0,272,257,13,2,0,0,0,0,272,0,3.8,2.71,1033.1,2022,2022,1,2022-2022 (1 yrs),0:0,257:13
Nooksack winter gamefish 2021-22,258,0,254,4,212,46,0,0,0,208,46,4,98.4,5.71,3.89,1426.5,2022,2022,1,2022-2022 (1 yrs),0:254,212:46
Skagit winter gamefish 2022-23,250,4,244,2,189,61,0,2,2,185,59,2,99.2,7.85,4.53,1962.2,2022,2023,2,2022-2023 (2 yrs),4:244,189:61
Quillayute winter steelhead 2022-23,248,112,136,0,145,103,0,47,65,98,38,0,100,12.53,13.73,3107.7,2022,2023,2,2022-2023 (2 yrs),112:136,145:103
Skagit spring Chinook 2026 lower,242,1,241,0,135,107,0,0,1,135,106,0,100,6.34,4.33,1527,2026,2026,1,2026-2026 (1 yrs),1:241,135:107
Upper Chehalis salmon 2023,242,33,209,0,29,213,0,0,33,29,180,0,100,11.48,9.67,2766.6,2023,2023,1,2023-2023 (1 yrs),33:209,29:213
Skookumchuck winter steelhead 2025-26,241,0,241,0,241,0,0,0,0,241,0,0,100,4.98,3.47,1199.1,2025,2026,2,2025-2026 (2 yrs),0:241,241:0
Skykomish summer gamefish 2023,241,0,0,241,240,0,1,0,0,0,0,241,0,4.8,3.52,1152,2023,2023,1,2023-2023 (1 yrs),0:0,240:0
Nooksack spring Chinook 2026,236,2,234,0,212,24,0,0,2,212,22,0,100,6.91,4,1630.5,2026,2026,1,2026-2026 (1 yrs),2:234,212:24
Skagit summer sockeye 2023,216,5,211,0,176,40,0,0,5,176,35,0,100,7.04,4.52,1521.3,2023,2023,1,2023-2023 (1 yrs),5:211,176:40
Hoh fall salmon 2025,214,50,164,0,113,101,0,0,50,113,51,0,100,10.51,8.03,2227.5,2025,2025,1,2025-2025 (1 yrs),50:164,113:101
Skykomish summer steelhead 2024,210,0,0,210,210,0,0,0,0,0,0,210,0,4.27,3.25,897.6,2024,2024,1,2024-2024 (1 yrs),0:0,210:0
Cascade fall salmon 2024,207,0,200,7,207,0,0,0,0,200,0,7,96.6,6.84,5.28,1415.1,2024,2024,1,2024-2024 (1 yrs),0:200,207:0
Naselle winter steelhead 2022-23,203,0,201,2,203,0,0,0,0,201,0,2,99,6.04,4.42,1226.5,2022,2023,2,2022-2023 (2 yrs),0:201,203:0
Cascade spring Chinook 2021,202,0,0,202,202,0,0,0,0,0,0,202,0,5.79,5,1164.1,2021,2021,1,2021-2021 (1 yrs),0:0,202:0
Cascade fall salmon 2022,183,0,182,1,183,0,0,0,0,182,0,1,99.5,6.43,5.22,1177.1,2022,2022,1,2022-2022 (1 yrs),0:182,183:0
Skagit spring Chinook 2023 lower,180,0,180,0,127,53,0,0,0,127,53,0,100,5.37,3.66,965.9,2023,2023,1,2023-2023 (1 yrs),0:180,127:53
Wallace salmon and gamefish 2023-24,173,0,0,173,173,0,0,0,0,0,0,173,0,4.19,3.38,721,2023,2023,1,2023-2023 (1 yrs),0:0,173:0
Nooksack spring Chinook 2022,167,0,162,5,161,4,2,0,0,156,4,7,95.8,4.3,2.3,717.8,2022,2022,1,2022-2022 (1 yrs),0:162,161:4
Naselle winter steelhead 2022,166,2,164,0,162,4,0,0,2,162,2,0,100,4.87,3.79,807.9,2022,2022,1,2022-2022 (1 yrs),2:164,162:4
