fishery_name,month,angler_final,hours,total_hours,prop
Humptulips winter steelhead 2024-25,2024-11-01,Boat,422.56666666666666,1158.6333333333334,0.36471129779337724
Humptulips winter steelhead 2024-25,2024-12-01,Bank,483.6333333333333,729.5166666666667,0.6629503552580476
Humptulips winter steelhead 2024-25,2024-12-01,Boat,245.88333333333333,729.5166666666667,0.3370496447419524
Humptulips winter steelhead 2024-25,2025-01-01,Bank,377.76666666666665,590.9833333333333,0.6392171240023689
Humptulips winter steelhead 2024-25,2025-01-01,Boat,213.21666666666667,590.9833333333333,0.36078287599763104
Humptulips winter steelhead 2024-25,2025-02-01,Bank,4.833333333333333,4.833333333333333,1
Humptulips winter steelhead 2025-26,2025-11-01,Bank,968.5333333333333,1914.0666666666666,0.5060081501863397
Humptulips winter steelhead 2025-26,2025-11-01,Boat,945.5333333333333,1914.0666666666666,0.4939918498136603
Humptulips winter steelhead 2025-26,2025-12-01,Bank,826.25,891.55,0.9267567719140822
Humptulips winter steelhead 2025-26,2025-12-01,Boat,65.3,891.55,0.07324322808591778
Humptulips winter steelhead 2025-26,2026-01-01,Bank,595.3666666666667,856.95,0.6947507633662018
Humptulips winter steelhead 2025-26,2026-01-01,Boat,261.5833333333333,856.95,0.3052492366337981
Humptulips winter steelhead 2025-26,2026-02-01,Bank,4.316666666666666,4.316666666666666,1
Lower Chehalis salmon 2023,2023-09-01,Bank,238.86666666666667,2704.366666666667,0.08832628711589897
Lower Chehalis salmon 2023,2023-09-01,Boat,2465.5,2704.366666666667,0.9116737128841009
Lower Chehalis salmon 2023,2023-10-01,Bank,273.1166666666667,2702.9333333333334,0.10104454419889503
Lower Chehalis salmon 2023,2023-10-01,Boat,2429.8166666666666,2702.9333333333334,0.8989554558011049
Lower Chehalis salmon 2023,2023-11-01,Bank,202.08333333333334,531.9,0.3799273046311964
Lower Chehalis salmon 2023,2023-11-01,Boat,329.81666666666666,531.9,0.6200726953688037
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Bank,325.7166666666667,1147.4166666666667,0.2838695620596993
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Boat,821.7,1147.4166666666667,0.7161304379403006
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Bank,147.83333333333334,931.3333333333334,0.1587329992841804
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Boat,783.5,931.3333333333334,0.8412670007158196
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Bank,271.25,469.18333333333334,0.5781322155518454
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Boat,197.93333333333334,469.18333333333334,0.4218677844481546
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Bank,310.4166666666667,404.70000000000005,0.7670290750350053
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Boat,94.28333333333333,404.70000000000005,0.2329709249649946
Lower Cowlitz salmon and steelhead 2022-23,2022-12-01,Bank,45.166666666666664,45.166666666666664,1
Lower Cowlitz salmon and steelhead 2022-23,2023-01-01,Bank,136.18333333333334,136.18333333333334,1
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Bank,524.65,864.8166666666666,0.6066603711769354
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Boat,340.1666666666667,864.8166666666666,0.39333962882306467
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Bank,564.2333333333333,1387.9666666666667,0.40651792790412833
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Boat,823.7333333333333,1387.9666666666667,0.5934820720958717
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Bank,412.1333333333333,629.6,0.6545955103769588
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Boat,217.46666666666667,629.6,0.3454044896230411
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Bank,387.5,545.1166666666667,0.7108570030880239
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Boat,157.61666666666667,545.1166666666667,0.28914299691197604
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Bank,601.2,1275.9,0.4711968022572302
