fishery_name,guided_status,hours,total_hours,prop
Hoh winter steelhead 2022-23,Unguided,4294.25,7203.683333333333,0.5961186522635411
Hoh winter steelhead 2023-24,Guided,3138.4166666666665,8614.3,0.3643263720402896
Hoh winter steelhead 2023-24,Unguided,5475.883333333333,8614.3,0.6356736279597105
Hoh winter steelhead 2024-25,Guided,2159.95,5551.833333333333,0.3890516646152922
Hoh winter steelhead 2024-25,Unguided,3391.883333333333,5551.833333333333,0.6109483353847077
Hoh winter steelhead 2025-26,Guided,2838.016666666667,7529,0.3769447027050959
Hoh winter steelhead 2025-26,Unguided,4690.983333333334,7529,0.6230552972949042
Humptulips salmon 2020,Guided,3095.7666666666664,11068.033333333333,0.2797034101210393
Humptulips salmon 2020,Unguided,7972.266666666666,11068.033333333333,0.7202965898789607
Humptulips salmon 2021,Guided,1631.8666666666666,7619.566666666667,0.2141679098111441
Humptulips salmon 2021,Unguided,5987.7,7619.566666666667,0.7858320901888559
Humptulips salmon 2022,Guided,1024.6833333333334,6978.75,0.14682906442175653
Humptulips salmon 2022,Unguided,5954.066666666667,6978.75,0.8531709355782434
Humptulips salmon 2023,Guided,1314.0333333333333,8730.95,0.15050290441857223
Humptulips salmon 2023,Unguided,7416.916666666667,8730.95,0.8494970955814277
Humptulips salmon 2024,Guided,1259.7833333333333,7964.733333333334,0.15817018355919008
Humptulips salmon 2024,Unguided,6704.95,7964.733333333334,0.8418298164408099
Humptulips salmon 2025,Guided,731.1166666666667,7359.533333333334,0.09934280253276928
Humptulips salmon 2025,Unguided,6628.416666666667,7359.533333333334,0.9006571974672307
Humptulips winter steelhead 2024-25,Guided,235.53333333333333,2483.9666666666667,0.0948214549309572
Humptulips winter steelhead 2024-25,Unguided,2248.4333333333334,2483.9666666666667,0.9051785450690428
Humptulips winter steelhead 2025-26,Guided,297.4,3666.8833333333337,0.0811042983823683
Humptulips winter steelhead 2025-26,Unguided,3369.4833333333336,3666.8833333333337,0.9188957016176317
Lower Chehalis salmon 2023,Guided,243.05,5887.566666666667,0.04128191046668969
Lower Chehalis salmon 2023,Unguided,5644.516666666666,5887.566666666667,0.9587180895333103
Lower Cowlitz salmon and steelhead 2022-23,Guided,3956.4333333333334,6055.05,0.6534105140887909
Lower Cowlitz salmon and steelhead 2022-23,Unguided,2098.616666666667,6055.05,0.3465894859112091
Lower Cowlitz salmon and steelhead 2023-24,Guided,6956.066666666667,17298.15,0.4021277805237361
Lower Cowlitz salmon and steelhead 2023-24,Unguided,10342.083333333334,17298.15,0.5978722194762638
Naselle winter steelhead 2022,Guided,26,807.9333333333334,0.0321808730093242
Naselle winter steelhead 2022,Unguided,781.9333333333334,807.9333333333334,0.9678191269906758
Naselle winter steelhead 2022-23,Unguided,1206.2833333333333,1206.2833333333333,1
Naselle winter steelhead 2023-24,Guided,95.08333333333333,2238.9666666666667,0.042467507332251485
Naselle winter steelhead 2023-24,Unguided,2143.883333333333,2238.9666666666667,0.9575324926677484
Nooksack fall salmon 2023,Unguided,111.13333333333334,111.13333333333334,1
Nooksack fall salmon 2024,Unguided,148.83333333333334,148.83333333333334,1
Nooksack spring Chinook 2022,Unguided,692.8166666666666,692.8166666666666,1
Nooksack spring Chinook 2026,Guided,46.400000000000006,1630.4666666666667,0.028458110152512577
Nooksack spring Chinook 2026,Unguided,1584.0666666666666,1630.4666666666667,0.97154188984748735
Nooksack winter gamefish 2021-22,Unguided,1420.8833333333334,1420.8833333333334,1
Nooksack winter gamefish 2022-23,Guided,43.849999999999994,1789.9166666666665,0.02449834722286885
Nooksack winter gamefish 2022-23,Unguided,1746.0666666666666,1789.9166666666665,0.9755016527771312
Post Quillayute winter steelhead 2023-24,Guided,2349.9666666666667,4664.75,0.5037711917394644
Post Quillayute winter steelhead 2023-24,Unguided,2314.7833333333333,4664.75,0.49622880826053556
Pre Quillayute winter steelhead 2023-24,Guided,733.5833333333334,1430.5333333333333,0.5128040823935129
Pre Quillayute winter steelhead 2023-24,Unguided,696.95,1430.5333333333333,0.4871959176064871
Puyallup Carbon salmon 2024,Unguided,3.966666666666667,3.966666666666667,1
