fishery_name,week,angler_final,n,total,prop
Humptulips winter steelhead 2024-25,2024-12-15,Bank,25,25,1
Humptulips winter steelhead 2024-25,2024-12-22,Bank,6,6,1
Humptulips winter steelhead 2024-25,2024-12-29,Bank,14,15,0.9333333333333333
Humptulips winter steelhead 2024-25,2024-12-29,Boat,1,15,0.06666666666666667
Humptulips winter steelhead 2024-25,2025-01-05,Bank,30,34,0.8823529411764706
Humptulips winter steelhead 2024-25,2025-01-05,Boat,4,34,0.11764705882352941
Humptulips winter steelhead 2024-25,2025-01-12,Bank,23,25,0.92
Humptulips winter steelhead 2024-25,2025-01-12,Boat,2,25,0.08
Humptulips winter steelhead 2024-25,2025-01-19,Bank,12,17,0.7058823529411765
Humptulips winter steelhead 2024-25,2025-01-19,Boat,5,17,0.29411764705882354
Humptulips winter steelhead 2024-25,2025-01-26,Bank,11,16,0.6875
Humptulips winter steelhead 2024-25,2025-01-26,Boat,5,16,0.3125
Humptulips winter steelhead 2025-26,2025-10-26,Bank,14,14,1
Humptulips winter steelhead 2025-26,2025-11-02,Bank,55,63,0.873015873015873
Humptulips winter steelhead 2025-26,2025-11-02,Boat,8,63,0.12698412698412698
Humptulips winter steelhead 2025-26,2025-11-09,Bank,44,63,0.6984126984126984
Humptulips winter steelhead 2025-26,2025-11-09,Boat,19,63,0.30158730158730157
Humptulips winter steelhead 2025-26,2025-11-16,Bank,50,79,0.6329113924050633
Humptulips winter steelhead 2025-26,2025-11-16,Boat,29,79,0.3670886075949367
Humptulips winter steelhead 2025-26,2025-11-23,Bank,30,34,0.8823529411764706
Humptulips winter steelhead 2025-26,2025-11-23,Boat,4,34,0.11764705882352941
Humptulips winter steelhead 2025-26,2025-11-30,Bank,19,22,0.8636363636363636
Humptulips winter steelhead 2025-26,2025-11-30,Boat,3,22,0.13636363636363635
Humptulips winter steelhead 2025-26,2025-12-07,Bank,29,29,1
Humptulips winter steelhead 2025-26,2025-12-14,Bank,26,26,1
Humptulips winter steelhead 2025-26,2025-12-21,Bank,55,56,0.9821428571428571
Humptulips winter steelhead 2025-26,2025-12-21,Boat,1,56,0.017857142857142856
Humptulips winter steelhead 2025-26,2025-12-28,Bank,27,32,0.84375
Humptulips winter steelhead 2025-26,2025-12-28,Boat,5,32,0.15625
Humptulips winter steelhead 2025-26,2026-01-04,Bank,43,43,1
Humptulips winter steelhead 2025-26,2026-01-11,Bank,32,41,0.7804878048780488
Humptulips winter steelhead 2025-26,2026-01-11,Boat,9,41,0.21951219512195122
Humptulips winter steelhead 2025-26,2026-01-18,Bank,20,22,0.9090909090909091
Humptulips winter steelhead 2025-26,2026-01-18,Boat,2,22,0.09090909090909091
Humptulips winter steelhead 2025-26,2026-01-25,Bank,8,8,1
Humptulips winter steelhead 2025-26,2026-02-01,Bank,3,3,1
Lower Chehalis salmon 2023,2023-09-10,Boat,23,23,1
Lower Chehalis salmon 2023,2023-09-17,Bank,15,114,0.13157894736842105
Lower Chehalis salmon 2023,2023-09-17,Boat,99,114,0.868421052631579
Lower Chehalis salmon 2023,2023-09-24,Bank,53,175,0.3028571428571429
Lower Chehalis salmon 2023,2023-09-24,Boat,122,175,0.6971428571428572
Lower Chehalis salmon 2023,2023-10-01,Bank,6,96,0.0625
Lower Chehalis salmon 2023,2023-10-01,Boat,90,96,0.9375
Lower Chehalis salmon 2023,2023-10-08,Bank,24,88,0.2727272727272727
Lower Chehalis salmon 2023,2023-10-08,Boat,64,88,0.7272727272727273
Lower Chehalis salmon 2023,2023-10-15,Bank,14,68,0.20588235294117646
Lower Chehalis salmon 2023,2023-10-15,Boat,54,68,0.7941176470588235
Lower Chehalis salmon 2023,2023-10-22,Bank,21,43,0.4883720930232558
Lower Chehalis salmon 2023,2023-10-22,Boat,22,43,0.5116279069767442
Lower Chehalis salmon 2023,2023-10-29,Bank,37,59,0.6271186440677966
Lower Chehalis salmon 2023,2023-10-29,Boat,22,59,0.3728813559322034
Lower Chehalis salmon 2023,2023-11-05,Bank,8,13,0.6153846153846154
Lower Chehalis salmon 2023,2023-11-05,Boat,5,13,0.38461538461538464
Lower Chehalis salmon 2023,2023-11-12,Bank,19,21,0.9047619047619048
Lower Chehalis salmon 2023,2023-11-12,Boat,2,21,0.09523809523809523
Lower Chehalis salmon 2023,2023-11-19,Bank,11,24,0.4583333333333333
Lower Chehalis salmon 2023,2023-11-19,Boat,13,24,0.5416666666666666
Lower Chehalis salmon 2023,2023-11-26,Bank,22,26,0.8461538461538461
Lower Chehalis salmon 2023,2023-11-26,Boat,4,26,0.15384615384615385
Lower Cowlitz salmon and steelhead 2022-23,2022-07-31,Bank,19,37,0.5135135135135135
Lower Cowlitz salmon and steelhead 2022-23,2022-07-31,Boat,18,37,0.4864864864864865
Lower Cowlitz salmon and steelhead 2022-23,2022-08-07,Bank,25,35,0.7142857142857143
Lower Cowlitz salmon and steelhead 2022-23,2022-08-07,Boat,10,35,0.2857142857142857
Lower Cowlitz salmon and steelhead 2022-23,2022-08-14,Bank,9,16,0.5625
Lower Cowlitz salmon and steelhead 2022-23,2022-08-14,Boat,7,16,0.4375
Lower Cowlitz salmon and steelhead 2022-23,2022-08-21,Bank,4,6,0.6666666666666666
Lower Cowlitz salmon and steelhead 2022-23,2022-08-21,Boat,2,6,0.3333333333333333
Lower Cowlitz salmon and steelhead 2022-23,2022-08-28,Bank,7,8,0.875
Lower Cowlitz salmon and steelhead 2022-23,2022-08-28,Boat,1,8,0.125
Lower Cowlitz salmon and steelhead 2022-23,2022-09-04,Boat,35,35,1
Lower Cowlitz salmon and steelhead 2022-23,2022-09-11,Bank,5,8,0.625
Lower Cowlitz salmon and steelhead 2022-23,2022-09-11,Boat,3,8,0.375
Lower Cowlitz salmon and steelhead 2022-23,2022-09-18,Bank,5,5,1
Lower Cowlitz salmon and steelhead 2022-23,2022-09-25,Bank,10,17,0.5882352941176471
Lower Cowlitz salmon and steelhead 2022-23,2022-09-25,Boat,7,17,0.4117647058823529
Lower Cowlitz salmon and steelhead 2022-23,2022-10-02,Bank,5,6,0.8333333333333334
Lower Cowlitz salmon and steelhead 2022-23,2022-10-02,Boat,1,6,0.16666666666666666
Lower Cowlitz salmon and steelhead 2022-23,2022-10-09,Bank,31,40,0.775
Lower Cowlitz salmon and steelhead 2022-23,2022-10-09,Boat,9,40,0.225
Lower Cowlitz salmon and steelhead 2022-23,2022-10-16,Bank,18,24,0.75
Lower Cowlitz salmon and steelhead 2022-23,2022-10-16,Boat,6,24,0.25
Lower Cowlitz salmon and steelhead 2022-23,2022-10-23,Bank,16,18,0.8888888888888888
Lower Cowlitz salmon and steelhead 2022-23,2022-10-23,Boat,2,18,0.1111111111111111
Lower Cowlitz salmon and steelhead 2022-23,2022-10-30,Bank,14,15,0.9333333333333333
Lower Cowlitz salmon and steelhead 2022-23,2022-10-30,Boat,1,15,0.06666666666666667
Lower Cowlitz salmon and steelhead 2022-23,2022-11-06,Bank,9,13,0.6923076923076923
Lower Cowlitz salmon and steelhead 2022-23,2022-11-06,Boat,4,13,0.3076923076923077
Lower Cowlitz salmon and steelhead 2022-23,2022-11-13,Bank,23,23,1
Lower Cowlitz salmon and steelhead 2022-23,2022-11-20,Bank,12,14,0.8571428571428571
Lower Cowlitz salmon and steelhead 2022-23,2022-11-20,Boat,2,14,0.14285714285714285
Lower Cowlitz salmon and steelhead 2022-23,2022-11-27,Bank,19,19,1
Lower Cowlitz salmon and steelhead 2022-23,2022-12-04,Bank,5,5,1
Lower Cowlitz salmon and steelhead 2022-23,2022-12-11,Bank,8,8,1
Lower Cowlitz salmon and steelhead 2022-23,2022-12-18,Bank,3,3,1
Lower Cowlitz salmon and steelhead 2022-23,2022-12-25,Bank,6,6,1
Lower Cowlitz salmon and steelhead 2022-23,2023-01-01,Bank,14,14,1
Lower Cowlitz salmon and steelhead 2022-23,2023-01-08,Bank,7,7,1
Lower Cowlitz salmon and steelhead 2022-23,2023-01-22,Bank,16,16,1
Lower Cowlitz salmon and steelhead 2022-23,2023-01-29,Bank,33,35,0.9428571428571428
Lower Cowlitz salmon and steelhead 2022-23,2023-01-29,Boat,2,35,0.05714285714285714
Lower Cowlitz salmon and steelhead 2022-23,2023-02-05,Bank,15,24,0.625
Lower Cowlitz salmon and steelhead 2022-23,2023-02-05,Boat,9,24,0.375
Lower Cowlitz salmon and steelhead 2022-23,2023-02-12,Bank,22,23,0.9565217391304348
Lower Cowlitz salmon and steelhead 2022-23,2023-02-12,Boat,1,23,0.043478260869565216
Lower Cowlitz salmon and steelhead 2022-23,2023-02-19,Bank,12,13,0.9230769230769231
Lower Cowlitz salmon and steelhead 2022-23,2023-02-19,Boat,1,13,0.07692307692307693
Lower Cowlitz salmon and steelhead 2022-23,2023-02-26,Bank,51,56,0.9107142857142857
Lower Cowlitz salmon and steelhead 2022-23,2023-02-26,Boat,5,56,0.08928571428571429
Lower Cowlitz salmon and steelhead 2022-23,2023-03-05,Bank,25,36,0.6944444444444444
Lower Cowlitz salmon and steelhead 2022-23,2023-03-05,Boat,11,36,0.3055555555555556
Lower Cowlitz salmon and steelhead 2022-23,2023-03-12,Bank,60,73,0.821917808219178
Lower Cowlitz salmon and steelhead 2022-23,2023-03-12,Boat,13,73,0.1780821917808219
Lower Cowlitz salmon and steelhead 2022-23,2023-03-19,Bank,7,8,0.875
Lower Cowlitz salmon and steelhead 2022-23,2023-03-19,Boat,1,8,0.125
Lower Cowlitz salmon and steelhead 2022-23,2023-03-26,Bank,16,21,0.7619047619047619
Lower Cowlitz salmon and steelhead 2022-23,2023-03-26,Boat,5,21,0.23809523809523808
Lower Cowlitz salmon and steelhead 2022-23,2023-04-02,Bank,25,29,0.8620689655172413
Lower Cowlitz salmon and steelhead 2022-23,2023-04-02,Boat,4,29,0.13793103448275862
Lower Cowlitz salmon and steelhead 2022-23,2023-04-09,Bank,18,24,0.75
Lower Cowlitz salmon and steelhead 2022-23,2023-04-09,Boat,6,24,0.25
Lower Cowlitz salmon and steelhead 2022-23,2023-04-16,Bank,20,20,1
Lower Cowlitz salmon and steelhead 2022-23,2023-04-23,Bank,28,30,0.9333333333333333
Lower Cowlitz salmon and steelhead 2022-23,2023-04-23,Boat,2,30,0.06666666666666667
Lower Cowlitz salmon and steelhead 2022-23,2023-04-30,Bank,28,31,0.9032258064516129
Lower Cowlitz salmon and steelhead 2022-23,2023-04-30,Boat,3,31,0.0967741935483871
Lower Cowlitz salmon and steelhead 2022-23,2023-05-07,Bank,2,3,0.6666666666666666
Lower Cowlitz salmon and steelhead 2022-23,2023-05-07,Boat,1,3,0.3333333333333333
Lower Cowlitz salmon and steelhead 2022-23,2023-05-14,Bank,12,17,0.7058823529411765
Lower Cowlitz salmon and steelhead 2022-23,2023-05-14,Boat,5,17,0.29411764705882354
Lower Cowlitz salmon and steelhead 2022-23,2023-05-21,Bank,19,23,0.8260869565217391
Lower Cowlitz salmon and steelhead 2022-23,2023-05-21,Boat,4,23,0.17391304347826086
Lower Cowlitz salmon and steelhead 2022-23,2023-05-28,Bank,42,45,0.9333333333333333
Lower Cowlitz salmon and steelhead 2022-23,2023-05-28,Boat,3,45,0.06666666666666667
Lower Cowlitz salmon and steelhead 2022-23,2023-06-04,Bank,39,42,0.9285714285714286
Lower Cowlitz salmon and steelhead 2022-23,2023-06-04,Boat,3,42,0.07142857142857142
Lower Cowlitz salmon and steelhead 2022-23,2023-06-11,Bank,23,33,0.696969696969697
Lower Cowlitz salmon and steelhead 2022-23,2023-06-11,Boat,10,33,0.30303030303030304
Lower Cowlitz salmon and steelhead 2022-23,2023-06-18,Bank,41,53,0.7735849056603774
Lower Cowlitz salmon and steelhead 2022-23,2023-06-18,Boat,12,53,0.22641509433962265
Lower Cowlitz salmon and steelhead 2022-23,2023-06-25,Bank,13,16,0.8125
Lower Cowlitz salmon and steelhead 2022-23,2023-06-25,Boat,3,16,0.1875
Lower Cowlitz salmon and steelhead 2022-23,2023-07-02,Bank,45,56,0.8035714285714286
Lower Cowlitz salmon and steelhead 2022-23,2023-07-02,Boat,11,56,0.19642857142857142
Lower Cowlitz salmon and steelhead 2022-23,2023-07-09,Bank,44,62,0.7096774193548387
Lower Cowlitz salmon and steelhead 2022-23,2023-07-09,Boat,18,62,0.2903225806451613
Lower Cowlitz salmon and steelhead 2022-23,2023-07-16,Bank,46,78,0.5897435897435898
Lower Cowlitz salmon and steelhead 2022-23,2023-07-16,Boat,32,78,0.41025641025641024
Lower Cowlitz salmon and steelhead 2022-23,2023-07-23,Bank,20,35,0.5714285714285714
Lower Cowlitz salmon and steelhead 2022-23,2023-07-23,Boat,15,35,0.42857142857142855
Lower Cowlitz salmon and steelhead 2023-24,2023-07-30,Bank,2,5,0.4
Lower Cowlitz salmon and steelhead 2023-24,2023-07-30,Boat,3,5,0.6
Lower Cowlitz salmon and steelhead 2023-24,2023-08-06,Bank,13,17,0.7647058823529411
Lower Cowlitz salmon and steelhead 2023-24,2023-08-06,Boat,4,17,0.23529411764705882
Lower Cowlitz salmon and steelhead 2023-24,2023-08-13,Bank,15,25,0.6
Lower Cowlitz salmon and steelhead 2023-24,2023-08-13,Boat,10,25,0.4
Lower Cowlitz salmon and steelhead 2023-24,2023-08-20,Bank,14,23,0.6086956521739131
Lower Cowlitz salmon and steelhead 2023-24,2023-08-20,Boat,9,23,0.391304347826087
Lower Cowlitz salmon and steelhead 2023-24,2023-08-27,Bank,24,27,0.8888888888888888
Lower Cowlitz salmon and steelhead 2023-24,2023-08-27,Boat,3,27,0.1111111111111111
Lower Cowlitz salmon and steelhead 2023-24,2023-09-03,Bank,22,27,0.8148148148148148
Lower Cowlitz salmon and steelhead 2023-24,2023-09-03,Boat,5,27,0.18518518518518517
Lower Cowlitz salmon and steelhead 2023-24,2023-09-10,Bank,30,36,0.8333333333333334
Lower Cowlitz salmon and steelhead 2023-24,2023-09-10,Boat,6,36,0.16666666666666666
Lower Cowlitz salmon and steelhead 2023-24,2023-09-17,Bank,50,60,0.8333333333333334
Lower Cowlitz salmon and steelhead 2023-24,2023-09-17,Boat,10,60,0.16666666666666666
Lower Cowlitz salmon and steelhead 2023-24,2023-09-24,Bank,67,78,0.8589743589743589
Lower Cowlitz salmon and steelhead 2023-24,2023-09-24,Boat,11,78,0.14102564102564102
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Bank,100,111,0.9009009009009009
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Boat,11,111,0.0990990990990991
Lower Cowlitz salmon and steelhead 2023-24,2023-10-08,Bank,33,35,0.9428571428571428
Lower Cowlitz salmon and steelhead 2023-24,2023-10-08,Boat,2,35,0.05714285714285714
Lower Cowlitz salmon and steelhead 2023-24,2023-10-15,Bank,33,40,0.825
Lower Cowlitz salmon and steelhead 2023-24,2023-10-15,Boat,7,40,0.175
Lower Cowlitz salmon and steelhead 2023-24,2023-10-22,Bank,37,39,0.9487179487179487
Lower Cowlitz salmon and steelhead 2023-24,2023-10-22,Boat,2,39,0.05128205128205128
Lower Cowlitz salmon and steelhead 2023-24,2023-10-29,Bank,19,24,0.7916666666666666
Lower Cowlitz salmon and steelhead 2023-24,2023-10-29,Boat,5,24,0.20833333333333334
Lower Cowlitz salmon and steelhead 2023-24,2023-11-05,Bank,23,23,1
Lower Cowlitz salmon and steelhead 2023-24,2023-11-12,Bank,42,44,0.9545454545454546
Lower Cowlitz salmon and steelhead 2023-24,2023-11-12,Boat,2,44,0.045454545454545456
Lower Cowlitz salmon and steelhead 2023-24,2023-11-19,Bank,15,15,1
Lower Cowlitz salmon and steelhead 2023-24,2023-12-03,Bank,12,12,1
Lower Cowlitz salmon and steelhead 2023-24,2023-12-10,Bank,10,10,1
Lower Cowlitz salmon and steelhead 2023-24,2023-12-17,Bank,8,8,1
Lower Cowlitz salmon and steelhead 2023-24,2023-12-24,Bank,16,20,0.8
Lower Cowlitz salmon and steelhead 2023-24,2023-12-24,Boat,4,20,0.2
Lower Cowlitz salmon and steelhead 2023-24,2023-12-31,Bank,15,19,0.7894736842105263
Lower Cowlitz salmon and steelhead 2023-24,2023-12-31,Boat,4,19,0.21052631578947367
Lower Cowlitz salmon and steelhead 2023-24,2024-01-07,Bank,8,10,0.8
Lower Cowlitz salmon and steelhead 2023-24,2024-01-07,Boat,2,10,0.2
Lower Cowlitz salmon and steelhead 2023-24,2024-01-14,Bank,15,23,0.6521739130434783
Lower Cowlitz salmon and steelhead 2023-24,2024-01-14,Boat,8,23,0.34782608695652173
Lower Cowlitz salmon and steelhead 2023-24,2024-01-21,Bank,63,79,0.7974683544303798
Lower Cowlitz salmon and steelhead 2023-24,2024-01-21,Boat,16,79,0.20253164556962025
Lower Cowlitz salmon and steelhead 2023-24,2024-01-28,Bank,48,64,0.75
Lower Cowlitz salmon and steelhead 2023-24,2024-01-28,Boat,16,64,0.25
Lower Cowlitz salmon and steelhead 2023-24,2024-02-04,Bank,14,34,0.4117647058823529
Lower Cowlitz salmon and steelhead 2023-24,2024-02-04,Boat,20,34,0.5882352941176471
Lower Cowlitz salmon and steelhead 2023-24,2024-02-11,Bank,40,55,0.7272727272727273
Lower Cowlitz salmon and steelhead 2023-24,2024-02-11,Boat,15,55,0.2727272727272727
Lower Cowlitz salmon and steelhead 2023-24,2024-02-18,Bank,63,99,0.6363636363636364
Lower Cowlitz salmon and steelhead 2023-24,2024-02-18,Boat,36,99,0.36363636363636365
Lower Cowlitz salmon and steelhead 2023-24,2024-02-25,Bank,33,64,0.515625
Lower Cowlitz salmon and steelhead 2023-24,2024-02-25,Boat,31,64,0.484375
Lower Cowlitz salmon and steelhead 2023-24,2024-03-03,Bank,16,22,0.7272727272727273
Lower Cowlitz salmon and steelhead 2023-24,2024-03-03,Boat,6,22,0.2727272727272727
Lower Cowlitz salmon and steelhead 2023-24,2024-03-10,Bank,34,60,0.5666666666666667
Lower Cowlitz salmon and steelhead 2023-24,2024-03-10,Boat,26,60,0.43333333333333335
Lower Cowlitz salmon and steelhead 2023-24,2024-03-17,Bank,57,102,0.5588235294117647
Lower Cowlitz salmon and steelhead 2023-24,2024-03-17,Boat,45,102,0.4411764705882353
Lower Cowlitz salmon and steelhead 2023-24,2024-03-24,Bank,29,73,0.3972602739726027
Lower Cowlitz salmon and steelhead 2023-24,2024-03-24,Boat,44,73,0.6027397260273972
Lower Cowlitz salmon and steelhead 2023-24,2024-03-31,Bank,43,57,0.7543859649122807
Lower Cowlitz salmon and steelhead 2023-24,2024-03-31,Boat,14,57,0.24561403508771928
Lower Cowlitz salmon and steelhead 2023-24,2024-04-07,Bank,47,51,0.9215686274509803
Lower Cowlitz salmon and steelhead 2023-24,2024-04-07,Boat,4,51,0.0784313725490196
Lower Cowlitz salmon and steelhead 2023-24,2024-04-14,Bank,10,10,1
Lower Cowlitz salmon and steelhead 2023-24,2024-04-21,Bank,37,37,1
Lower Cowlitz salmon and steelhead 2023-24,2024-04-28,Bank,27,28,0.9642857142857143
Lower Cowlitz salmon and steelhead 2023-24,2024-04-28,Boat,1,28,0.03571428571428571
Lower Cowlitz salmon and steelhead 2023-24,2024-05-05,Bank,28,29,0.9655172413793104
Lower Cowlitz salmon and steelhead 2023-24,2024-05-05,Boat,1,29,0.034482758620689655
Lower Cowlitz salmon and steelhead 2023-24,2024-05-12,Bank,9,10,0.9
Lower Cowlitz salmon and steelhead 2023-24,2024-05-12,Boat,1,10,0.1
Lower Cowlitz salmon and steelhead 2023-24,2024-05-19,Bank,16,16,1
Lower Cowlitz salmon and steelhead 2023-24,2024-05-26,Bank,17,22,0.7727272727272727
Lower Cowlitz salmon and steelhead 2023-24,2024-05-26,Boat,5,22,0.22727272727272727
Lower Cowlitz salmon and steelhead 2023-24,2024-06-02,Bank,12,16,0.75
Lower Cowlitz salmon and steelhead 2023-24,2024-06-02,Boat,4,16,0.25
Lower Cowlitz salmon and steelhead 2023-24,2024-06-09,Bank,9,15,0.6
Lower Cowlitz salmon and steelhead 2023-24,2024-06-09,Boat,6,15,0.4
Lower Cowlitz salmon and steelhead 2023-24,2024-06-16,Bank,26,42,0.6190476190476191
Lower Cowlitz salmon and steelhead 2023-24,2024-06-16,Boat,16,42,0.38095238095238093
Lower Cowlitz salmon and steelhead 2023-24,2024-06-23,Bank,29,41,0.7073170731707317
Lower Cowlitz salmon and steelhead 2023-24,2024-06-23,Boat,12,41,0.2926829268292683
Lower Cowlitz salmon and steelhead 2023-24,2024-06-30,Bank,27,37,0.7297297297297297
Lower Cowlitz salmon and steelhead 2023-24,2024-06-30,Boat,10,37,0.2702702702702703
Lower Cowlitz salmon and steelhead 2023-24,2024-07-07,Bank,9,16,0.5625
Lower Cowlitz salmon and steelhead 2023-24,2024-07-07,Boat,7,16,0.4375
Lower Cowlitz salmon and steelhead 2023-24,2024-07-14,Bank,10,14,0.7142857142857143
Lower Cowlitz salmon and steelhead 2023-24,2024-07-14,Boat,4,14,0.2857142857142857
Lower Cowlitz salmon and steelhead 2023-24,2024-07-21,Bank,19,31,0.6129032258064516
Lower Cowlitz salmon and steelhead 2023-24,2024-07-21,Boat,12,31,0.3870967741935484
Lower Cowlitz salmon and steelhead 2023-24,2024-07-28,Bank,14,27,0.5185185185185185
Lower Cowlitz salmon and steelhead 2023-24,2024-07-28,Boat,13,27,0.48148148148148145
Naselle winter steelhead 2022,2022-01-02,Bank,9,9,1
Naselle winter steelhead 2022,2022-01-09,Bank,26,26,1
Naselle winter steelhead 2022,2022-01-16,Bank,30,30,1
Naselle winter steelhead 2022,2022-01-23,Bank,26,28,0.9285714285714286
Naselle winter steelhead 2022,2022-01-23,Boat,2,28,0.07142857142857142
Naselle winter steelhead 2022,2022-01-30,Bank,21,21,1
Naselle winter steelhead 2022,2022-02-06,Bank,13,14,0.9285714285714286
Naselle winter steelhead 2022,2022-02-06,Boat,1,14,0.07142857142857142
Naselle winter steelhead 2022,2022-02-13,Bank,22,22,1
Naselle winter steelhead 2022,2022-02-20,Bank,10,11,0.9090909090909091
Naselle winter steelhead 2022,2022-02-20,Boat,1,11,0.09090909090909091
Naselle winter steelhead 2022,2022-02-27,Bank,5,5,1
Naselle winter steelhead 2022-23,2022-12-18,Bank,12,12,1
Naselle winter steelhead 2022-23,2022-12-25,Bank,5,5,1
Naselle winter steelhead 2022-23,2023-01-01,Bank,5,5,1
Naselle winter steelhead 2022-23,2023-01-08,Bank,20,20,1
Naselle winter steelhead 2022-23,2023-01-15,Bank,12,12,1
Naselle winter steelhead 2022-23,2023-01-22,Bank,18,18,1
Naselle winter steelhead 2022-23,2023-01-29,Bank,15,15,1
Naselle winter steelhead 2022-23,2023-02-05,Bank,13,13,1
Naselle winter steelhead 2022-23,2023-02-12,Bank,19,19,1
Naselle winter steelhead 2022-23,2023-02-19,Bank,18,18,1
Naselle winter steelhead 2022-23,2023-02-26,Bank,11,11,1
Naselle winter steelhead 2022-23,2023-03-05,Bank,23,23,1
Naselle winter steelhead 2022-23,2023-03-12,Bank,14,14,1
Naselle winter steelhead 2022-23,2023-03-19,Bank,12,12,1
Naselle winter steelhead 2022-23,2023-03-26,Bank,6,6,1
Naselle winter steelhead 2023-24,2023-11-26,Bank,6,6,1
Naselle winter steelhead 2023-24,2023-12-03,Bank,14,14,1
Naselle winter steelhead 2023-24,2023-12-10,Bank,23,26,0.8846153846153846
Naselle winter steelhead 2023-24,2023-12-10,Boat,3,26,0.11538461538461539
Naselle winter steelhead 2023-24,2023-12-17,Bank,38,41,0.926829268292683
Naselle winter steelhead 2023-24,2023-12-17,Boat,3,41,0.07317073170731707
Naselle winter steelhead 2023-24,2023-12-24,Bank,49,52,0.9423076923076923
Naselle winter steelhead 2023-24,2023-12-24,Boat,3,52,0.057692307692307696
Naselle winter steelhead 2023-24,2023-12-31,Bank,9,12,0.75
Naselle winter steelhead 2023-24,2023-12-31,Boat,3,12,0.25
Naselle winter steelhead 2023-24,2024-01-07,Bank,5,5,1
Naselle winter steelhead 2023-24,2024-01-14,Bank,31,35,0.8857142857142857
Naselle winter steelhead 2023-24,2024-01-14,Boat,4,35,0.11428571428571428
Naselle winter steelhead 2023-24,2024-01-21,Bank,5,5,1
Naselle winter steelhead 2023-24,2024-01-28,Bank,16,18,0.8888888888888888
Naselle winter steelhead 2023-24,2024-01-28,Boat,2,18,0.1111111111111111
Naselle winter steelhead 2023-24,2024-02-04,Bank,12,16,0.75
Naselle winter steelhead 2023-24,2024-02-04,Boat,4,16,0.25
Naselle winter steelhead 2023-24,2024-02-11,Bank,13,17,0.7647058823529411
Naselle winter steelhead 2023-24,2024-02-11,Boat,4,17,0.23529411764705882
Naselle winter steelhead 2023-24,2024-02-18,Bank,17,21,0.8095238095238095
Naselle winter steelhead 2023-24,2024-02-18,Boat,4,21,0.19047619047619047
Naselle winter steelhead 2023-24,2024-02-25,Bank,9,9,1
Naselle winter steelhead 2023-24,2024-03-03,Bank,9,13,0.6923076923076923
Naselle winter steelhead 2023-24,2024-03-03,Boat,4,13,0.3076923076923077
Naselle winter steelhead 2023-24,2024-03-10,Bank,10,11,0.9090909090909091
Naselle winter steelhead 2023-24,2024-03-10,Boat,1,11,0.09090909090909091
Naselle winter steelhead 2023-24,2024-03-17,Bank,10,12,0.8333333333333334
Naselle winter steelhead 2023-24,2024-03-17,Boat,2,12,0.16666666666666666
Naselle winter steelhead 2023-24,2024-03-24,Bank,7,9,0.7777777777777778
Naselle winter steelhead 2023-24,2024-03-24,Boat,2,9,0.2222222222222222
Naselle winter steelhead 2023-24,2024-03-31,Bank,2,2,1
Nisqually salmon 2021,2021-08-01,Bank,71,71,1
Nisqually salmon 2021,2021-08-08,Bank,357,359,0.9944289693593314
Nisqually salmon 2021,2021-08-08,Boat,2,359,0.005571030640668524
Nisqually salmon 2021,2021-08-15,Bank,417,423,0.9858156028368794
Nisqually salmon 2021,2021-08-15,Boat,6,423,0.014184397163120567
Nisqually salmon 2021,2021-08-22,Bank,445,452,0.9845132743362832
Nisqually salmon 2021,2021-08-22,Boat,7,452,0.015486725663716814
Nisqually salmon 2021,2021-08-29,Bank,573,577,0.9930675909878682
Nisqually salmon 2021,2021-08-29,Boat,4,577,0.006932409012131715
Nisqually salmon 2021,2021-09-05,Bank,358,359,0.9972144846796658
Nisqually salmon 2021,2021-09-05,Boat,1,359,0.002785515320334262
Nisqually salmon 2021,2021-09-12,Bank,559,566,0.9876325088339223
Nisqually salmon 2021,2021-09-12,Boat,7,566,0.012367491166077738
Nisqually salmon 2021,2021-09-19,Bank,269,277,0.9711191335740073
Nisqually salmon 2021,2021-09-19,Boat,8,277,0.02888086642599278
Nisqually salmon 2021,2021-09-26,Bank,156,164,0.9512195121951219
Nisqually salmon 2021,2021-09-26,Boat,8,164,0.04878048780487805
Nisqually salmon 2021,2021-10-03,Bank,141,142,0.9929577464788732
Nisqually salmon 2021,2021-10-03,Boat,1,142,0.007042253521126761
Nisqually salmon 2021,2021-10-10,Bank,53,55,0.9636363636363636
Nisqually salmon 2021,2021-10-10,Boat,2,55,0.03636363636363636
Nisqually salmon 2021,2021-10-17,Bank,39,41,0.9512195121951219
Nisqually salmon 2021,2021-10-17,Boat,2,41,0.04878048780487805
Nisqually salmon 2021,2021-10-24,Bank,8,8,1
Nisqually salmon 2021,2021-10-31,Bank,2,2,1
Nisqually salmon 2021,2021-11-07,Bank,1,1,1
Nisqually salmon 2022,2022-06-26,Bank,6,6,1
Nisqually salmon 2022,2022-07-03,Bank,12,13,0.9230769230769231
Nisqually salmon 2022,2022-07-03,Boat,1,13,0.07692307692307693
Nisqually salmon 2022,2022-07-10,Bank,10,11,0.9090909090909091
Nisqually salmon 2022,2022-07-10,Boat,1,11,0.09090909090909091
Nisqually salmon 2022,2022-07-17,Bank,17,18,0.9444444444444444
Nisqually salmon 2022,2022-07-17,Boat,1,18,0.05555555555555555
