fishery_name,month,guided_status,hours,total_hours,prop
Humptulips salmon 2021,2021-10-01,Unguided,2015.3333333333333,2564.633333333333,0.785817335811487
Humptulips salmon 2021,2021-11-01,Guided,417.2,975.9166666666667,0.42749551703526595
Humptulips salmon 2021,2021-11-01,Unguided,558.7166666666667,975.9166666666667,0.572504482964734
Humptulips salmon 2022,2022-09-01,Guided,531.9333333333333,3086.35,0.17235029511666963
Humptulips salmon 2022,2022-09-01,Unguided,2554.4166666666665,3086.35,0.8276497048833303
Humptulips salmon 2022,2022-10-01,Guided,160.71666666666667,1224.7666666666667,0.13122227363035135
Humptulips salmon 2022,2022-10-01,Unguided,1064.05,1224.7666666666667,0.8687777263696486
Humptulips salmon 2022,2022-11-01,Guided,332.03333333333336,2070.5333333333333,0.16036125957885247
Humptulips salmon 2022,2022-11-01,Unguided,1738.5,2070.5333333333333,0.8396387404211475
Humptulips salmon 2022,2022-12-01,Unguided,597.1,597.1,1
Humptulips salmon 2023,2023-09-01,Guided,438.5333333333333,3122.7666666666664,0.14043102804137356
Humptulips salmon 2023,2023-09-01,Unguided,2684.233333333333,3122.7666666666664,0.8595689719586265
Humptulips salmon 2023,2023-10-01,Guided,478.66666666666663,3959.2,0.12089984508654947
Humptulips salmon 2023,2023-10-01,Unguided,3480.5333333333333,3959.2,0.8791001549134506
Humptulips salmon 2023,2023-11-01,Guided,396.8333333333333,1648.9833333333333,0.24065333185093846
Humptulips salmon 2023,2023-11-01,Unguided,1252.15,1648.9833333333333,0.7593466681490616
Humptulips salmon 2024,2024-09-01,Guided,390.2,3090.7666666666664,0.126246993734025
Humptulips salmon 2024,2024-09-01,Unguided,2700.5666666666666,3090.7666666666664,0.8737530062659751
Humptulips salmon 2024,2024-10-01,Guided,692.1,2983.883333333333,0.23194606580909666
Humptulips salmon 2024,2024-10-01,Unguided,2291.7833333333333,2983.883333333333,0.7680539341909034
Humptulips salmon 2024,2024-11-01,Guided,102.2,1160.5666666666666,0.08806043024959072
Humptulips salmon 2024,2024-11-01,Unguided,1058.3666666666666,1160.5666666666666,0.9119395697504092
Humptulips salmon 2024,2024-12-01,Guided,75.28333333333333,729.5166666666667,0.10319618011925705
